timestamp_iso,t_rel_s,sensor,valor,unidad
2025-09-06T17:34:44.359414,0.0,accel:y,-0.02675628662109375,m/s²
2025-09-06T17:34:44.359414,0.0,accel:x,0.019080668687820435,m/s²
2025-09-06T17:34:44.359414,0.0,accel:z,-0.027684032917022705,m/s²
2025-09-06T17:34:44.359414,0.0,gps:latitude,3.4015650451536716,°
2025-09-06T17:34:44.359414,0.0,gps:longitude,-76.54746409419062,°
2025-09-06T17:34:44.359414,0.0,gyro:y,0.006726395338773727,rad/s
2025-09-06T17:34:44.359414,0.0,gyro:x,0.05866141617298126,rad/s
2025-09-06T17:34:44.359414,0.0,gyro:z,-0.017905112355947495,rad/s
2025-09-06T17:34:45.351267,0.9920263290405273,accel:y,0.13018888235092163,m/s²
2025-09-06T17:34:45.351267,0.9920263290405273,accel:x,-0.03029882162809372,m/s²
2025-09-06T17:34:45.351267,0.9920263290405273,accel:z,0.20450037717819214,m/s²
2025-09-06T17:34:45.351267,0.9920263290405273,gps:latitude,3.4015650451536716,°
2025-09-06T17:34:45.351267,0.9920263290405273,gps:longitude,-76.54746409419062,°
2025-09-06T17:34:45.351267,0.9920263290405273,gyro:y,-0.9035665392875671,rad/s
2025-09-06T17:34:45.351267,0.9920263290405273,gyro:x,0.1709202229976654,rad/s
2025-09-06T17:34:45.351267,0.9920263290405273,gyro:z,-0.1495167315006256,rad/s
2025-09-06T17:34:46.346994,1.9877536296844482,accel:y,0.06070537865161896,m/s²
2025-09-06T17:34:46.346994,1.9877536296844482,accel:x,-0.11127859354019165,m/s²
2025-09-06T17:34:46.346994,1.9877536296844482,accel:z,0.00022101402282714844,m/s²
2025-09-06T17:34:46.346994,1.9877536296844482,gps:latitude,3.4015650451536716,°
2025-09-06T17:34:46.346994,1.9877536296844482,gps:longitude,-76.54746409419062,°
2025-09-06T17:34:46.346994,1.9877536296844482,gyro:y,-0.5117963552474976,rad/s
2025-09-06T17:34:46.346994,1.9877536296844482,gyro:x,-0.15969635546207428,rad/s
2025-09-06T17:34:46.346994,1.9877536296844482,gyro:z,-0.0794285461306572,rad/s
2025-09-06T17:34:47.359176,2.9999353885650635,accel:y,0.011170290410518646,m/s²
2025-09-06T17:34:47.359176,2.9999353885650635,accel:x,-0.04411425441503525,m/s²
2025-09-06T17:34:47.359176,2.9999353885650635,accel:z,-0.0017701387405395508,m/s²
2025-09-06T17:34:47.359176,2.9999353885650635,gps:latitude,3.4015650451536716,°
2025-09-06T17:34:47.359176,2.9999353885650635,gps:longitude,-76.54746409419062,°
2025-09-06T17:34:47.359176,2.9999353885650635,gyro:y,0.267465740442276,rad/s
2025-09-06T17:34:47.359176,2.9999353885650635,gyro:x,0.10722290724515915,rad/s
2025-09-06T17:34:47.359176,2.9999353885650635,gyro:z,0.08377788215875626,rad/s
2025-09-06T17:34:48.359832,4.00059175491333,accel:y,-0.01693636178970337,m/s²
2025-09-06T17:34:48.359832,4.00059175491333,accel:x,0.0013203620910644531,m/s²
2025-09-06T17:34:48.359832,4.00059175491333,accel:z,-0.017200469970703125,m/s²
2025-09-06T17:34:48.359832,4.00059175491333,gps:latitude,3.4015650451536716,°
2025-09-06T17:34:48.359832,4.00059175491333,gps:longitude,-76.54746409419062,°
2025-09-06T17:34:48.359832,4.00059175491333,gyro:y,0.11983412504196167,rad/s
2025-09-06T17:34:48.359832,4.00059175491333,gyro:x,0.13166238367557526,rad/s
2025-09-06T17:34:48.359832,4.00059175491333,gyro:z,-0.1201554387807846,rad/s
2025-09-06T17:34:49.363886,5.004645347595215,accel:y,0.019998500123620033,m/s²
2025-09-06T17:34:49.363886,5.004645347595215,accel:x,0.014059491455554962,m/s²
2025-09-06T17:34:49.363886,5.004645347595215,accel:z,-0.19490498304367065,m/s²
2025-09-06T17:34:49.363886,5.004645347595215,gps:latitude,3.4015650451536716,°
2025-09-06T17:34:49.363886,5.004645347595215,gps:longitude,-76.54746409419062,°
2025-09-06T17:34:49.363886,5.004645347595215,gyro:y,0.07184319943189621,rad/s
2025-09-06T17:34:49.363886,5.004645347595215,gyro:x,0.044812411069869995,rad/s
2025-09-06T17:34:49.363886,5.004645347595215,gyro:z,-0.32045772671699524,rad/s
2025-09-06T17:34:50.375332,6.016091823577881,accel:y,-0.008763382211327553,m/s²
2025-09-06T17:34:50.375332,6.016091823577881,accel:x,-0.001995272934436798,m/s²
2025-09-06T17:34:50.375332,6.016091823577881,accel:z,0.003683149814605713,m/s²
2025-09-06T17:34:50.375332,6.016091823577881,gps:latitude,3.4015650451536716,°
2025-09-06T17:34:50.375332,6.016091823577881,gps:longitude,-76.54746409419062,°
2025-09-06T17:34:50.375332,6.016091823577881,gyro:y,-0.011774508282542229,rad/s
2025-09-06T17:34:50.375332,6.016091823577881,gyro:x,-0.0016653432976454496,rad/s
2025-09-06T17:34:50.375332,6.016091823577881,gyro:z,-0.01264788769185543,rad/s
2025-09-06T17:34:51.359407,7.000166416168213,accel:y,-0.012319001369178295,m/s²
2025-09-06T17:34:51.359407,7.000166416168213,accel:x,0.04249849542975426,m/s²
2025-09-06T17:34:51.359407,7.000166416168213,accel:z,0.010130822658538818,m/s²
2025-09-06T17:34:51.359407,7.000166416168213,gps:latitude,3.4015650451536716,°
2025-09-06T17:34:51.359407,7.000166416168213,gps:longitude,-76.54746409419062,°
2025-09-06T17:34:51.359407,7.000166416168213,gyro:y,-0.01353554055094719,rad/s
2025-09-06T17:34:51.359407,7.000166416168213,gyro:x,-0.002765171229839325,rad/s
