timestamp_iso,t_rel_s,device,uuid,sensor,x,y,z
2025-09-06T15:58:51.426388,0.0,"unknown device (iPhone15,5)",,gyro,0.0006127674132585526,0.004378932528197765,-0.003307963255792856
2025-09-06T15:58:52.446346,1.0199580192565918,"unknown device (iPhone15,5)",,gyro,-0.0007417011074721813,0.0014446056447923183,-0.00037740496918559074
2025-09-06T15:58:53.454363,2.0279741287231445,"unknown device (iPhone15,5)",,gyro,0.0002723783254623413,0.0009284825064241886,0.0010682863648980856
2025-09-06T15:58:54.446589,3.020200729370117,"unknown device (iPhone15,5)",,gyro,0.0012825680896639824,-0.0011547026224434376,0.0003755565267056227
2025-09-06T15:58:55.439117,4.012728452682495,"unknown device (iPhone15,5)",,gyro,0.0007560020312666893,0.0036708679981529713,-0.0003778235986828804
2025-09-06T15:58:56.447014,5.020625591278076,"unknown device (iPhone15,5)",,gyro,-0.00021695904433727264,-0.0010484997183084488,-0.0016470076516270638
2025-09-06T15:58:57.454463,6.0280749797821045,"unknown device (iPhone15,5)",,gyro,0.0012918589636683464,0.0024371067993342876,-0.0023611111100763083
2025-09-06T15:58:58.426977,7.000588655471802,"unknown device (iPhone15,5)",,gyro,-0.0011859708465635777,0.0031520691700279713,-0.0026906603015959263
2025-09-06T15:58:59.438633,8.012244939804077,"unknown device (iPhone15,5)",,gyro,0.0007073296001181006,0.0001571481116116047,-0.0007438301108777523
2025-09-06T15:59:00.436783,9.010394811630249,"unknown device (iPhone15,5)",,gyro,-0.0010429795365780592,0.005541573278605938,0.0009999086614698172
2025-09-06T15:59:01.447201,10.02081298828125,"unknown device (iPhone15,5)",,gyro,-0.000649013090878725,0.002674930728971958,0.000493139261379838
