timestamp_iso,t_rel_s,sensor,x,y,z
2025-09-06T16:02:50.801587,0.0,gyro,0.05761310085654259,0.042526815086603165,-0.08119998872280121
2025-09-06T16:02:51.797378,0.9960794448852539,gyro,-0.00474209152162075,-0.011742675676941872,0.01449357345700264
2025-09-06T16:02:52.821958,2.0207765102386475,gyro,-0.03160683438181877,0.017333757132291794,0.02002301625907421
2025-09-06T16:02:53.813762,3.0115838050842285,gyro,-0.4374222755432129,0.022658992558717728,0.7739839553833008
2025-09-06T16:02:54.798231,3.9962656497955322,gyro,0.9696041345596313,0.5249042510986328,1.2079004049301147
2025-09-06T16:02:55.801739,5.0005574226379395,gyro,2.155961275100708,-1.9121336936950684,0.054183099418878555
2025-09-06T16:02:56.800658,5.998685836791992,gyro,-1.2891566753387451,-0.9779093265533447,-1.1853076219558716
2025-09-06T16:02:57.797432,6.995729684829712,gyro,-0.5458200573921204,-0.44172826409339905,2.6810901165008545
2025-09-06T16:02:58.813472,8.012290477752686,gyro,0.7350552678108215,-0.4198167622089386,0.567309558391571
2025-09-06T16:02:59.798970,8.996782541275024,gyro,0.11867253482341766,0.5600311756134033,-0.4947340488433838
2025-09-06T16:03:00.801075,9.998883724212646,gyro,3.089385747909546,1.9035481214523315,0.36403241753578186
2025-09-06T16:03:01.789361,10.987173318862915,gyro,-2.2217955589294434,3.3923585414886475,-1.7297194004058838
